title,author,price,pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,publisher,media_avaliacao
Data Science In The Library: Tools and Strategies for Supporting Data-Driven Research and Instruction,[Joel Herndon],80.31,224,,0,0,0,0,0,0,Facet Publishing,0
Foundational Python for Data Science (Addison-Wesley Data & Analytics Series),,39.99,256,4.3,7,0.5,0.31,0.19,0,0,Pearson,0.287333333333333
Integrating Data,"[Bill Inmon,Patty Haines et al.]",39.95,134,5,1,1,0,0,0,0,Technics Publications,0.333333333333333
Bioinformatics Data Skills: Reproducible and Robust Research with Open Source Tools,[Vince Buffalo],45.77,536,4.6,109,0.73,0.18,0.05,0.02,0.02,OReilly Media,0.305333333333333
Python Crash Course 2nd Edition: A Hands-On Project-Based Introduction to Programming,[Eric Matthes],21.49,544,4.7,7425,0.81,0.13,0.04,0.01,0.01,No Starch Press,0.314666666666667
The Esri Guide to GIS Analysis Volume 3: Modeling Suitability Movement and Interaction (The ESRI Guide to GIS Analysis 3),[Andy Mitchell],33.93,420,4.4,27,0.7,0.11,0.1,0.09,0,Esri Press,0.294666666666667
The Applied SQL Data Analytics Workshop: Develop your practical skills and prepare to become a professional data analyst 2nd Edition,"[Matt Goldwasser,Upom Malik et al.]",34.99,484,4.6,40,0.71,0.21,0.08,0,0,Packt Publishing (February 28 2020),0.308666666666667
Data Mesh: Delivering Data-Driven Value at Scale,[Zhamak Dehghani],51.89,384,4.5,101,0.71,0.15,0.09,0.06,0,OReilly Media,0.302666666666667
End-to-End Data Science with SASÂ®: A Hands-On Programming Guide,[James Gearheart],39.95,380,4.5,17,0.66,0.25,0.09,0,0,SAS Institute (June 29 2020),0.304666666666667
An Introduction to Data Science,"[Jeffrey S. Saltz,Jeffrey M. Stanton]",44.86,288,4.4,75,0.65,0.22,0.06,0.04,0.03,SAGE Publications Inc,0.294666666666667
Probabilistic Machine Learning: An Introduction (Adaptive Computation and Machine Learning series),,99,864,4.4,73,0.76,0.05,0.08,0.02,0.08,The MIT Press (March 1 2022),0.290666666666667
Computer Science Unleashed: Harness the Power of Computational Systems,,29.95,268,4.9,25,0.94,0.06,0,0,0,Code Energy (March 17 2021),0.329333333333333
R Statistics Cookbook: Over 100 recipes for performing complex statistical operations with R 3.5,[Francisco Juretig],24.99,448,4.6,22,0.64,0.29,0.07,0,0,Packt Publishing (March 29 2019),0.304666666666667
Introduction to Statistics: An Intuitive Guide for Analyzing Data and Unlocking Discoveries,[Jim Frost],18.91,255,4.5,199,0.72,0.15,0.05,0.03,0.04,Statistics Jim Publishing (August 13 2020),0.296666666666667
Algorithms and Data Structures for Massive Datasets,"[Dzejla Medjedovic,Emin Tahirovic et al.]",59.99,304,3.8,3,0.38,0.62,0,0,0,Manning (July 5 2022),0.292
Data Science (Chapman & Hall/CRC Data Science Series),"[Tiffany Timbers,Trevor Campbell et al.]",59.95,442,,0,0,0,0,0,0,Chapman and Hall/CRC,0
Data Democratization with Domo: Bring together every component of your business to make better data-driven decisions using Domo,[Jeff Burtenshaw],49.99,576,4.8,6,0.78,0.22,0,0,0,Packt Publishing (June 17 2022),0.318666666666667
Determannâ€™s Field Guide to Data Privacy Law: International Corporate Compliance (Elgar Compliance Guides),[Lothar Determann],73.08,256,,0,0,0,0,0,0,Edward Elgar Publishing,0
Data Visualization with Python for Beginners: Visualize Your Data using Pandas Matplotlib and Seaborn (Machine Learning & Data Science for Beginners),,19.99,288,4.1,61,0.51,0.23,0.14,0.05,0.07,AI Publishing LLC (February 14 2020),0.270666666666667
